%time,field.header.seq,field.header.stamp,field.header.frame_id,field.num_matches,field.num_inliers,field.runtime
1336387072671794891,1675,1336387072671794891,,550,531,0.16086878
1336387072870270014,1676,1336387072870270014,,540,520,0.140852412
1336387072969506025,1677,1336387072969506025,,554,536,0.177371366
1336387073167980909,1678,1336387073167980909,,533,505,0.155130691
1336387073366453886,1679,1336387073366453886,,538,520,0.163950314
1336387073465690851,1680,1336387073465690851,,536,509,0.156292435
1336387073664165020,1681,1336387073664165020,,537,518,0.16531823
1336387073862638950,1682,1336387073862638950,,512,489,0.155066646
1336387073961875916,1683,1336387073961875916,,516,493,0.15419007
1336387074160349846,1684,1336387074160349846,,507,484,0.150940704
1336387074259587049,1685,1336387074259587049,,509,492,0.160091236
1336387074458060026,1686,1336387074458060026,,510,498,0.154191465
1336387074656534910,1687,1336387074656534910,,513,490,0.148115692
1336387074755770922,1688,1336387074755770922,,526,502,0.156196885
1336387074954244852,1689,1336387074954244852,,509,494,0.146478336
1336387075053482056,1690,1336387075053482056,,526,509,0.172170356
1336387075251956940,1691,1336387075251956940,,536,513,0.162091143
1336387075450429916,1692,1336387075450429916,,545,525,0.166252288
1336387075549666882,1693,1336387075549666882,,543,527,0.164577215
1336387075748139858,1694,1336387075748139858,,550,525,0.164420418
1336387075946614981,1695,1336387075946614981,,554,538,0.151207707
1336387076045850992,1696,1336387076045850992,,544,525,0.176199431
1336387076244325876,1697,1336387076244325876,,551,527,0.157771247
1336387076442798853,1698,1336387076442798853,,558,534,0.160903219
1336387076542036057,1699,1336387076542036057,,555,533,0.167200867
1336387076740509987,1700,1336387076740509987,,557,533,0.167826161
1336387076938982964,1701,1336387076938982964,,546,524,0.150841948
1336387077038219929,1702,1336387077038219929,,542,525,0.162737107
1336387077236693859,1703,1336387077236693859,,542,517,0.156227337
1336387077435168028,1704,1336387077435168028,,542,521,0.152915326
1336387077534404993,1705,1336387077534404993,,542,519,0.158695806
1336387077732879877,1706,1336387077732879877,,529,501,0.152596644
1336387077832116842,1707,1336387077832116842,,521,502,0.166148921
1336387078030590057,1708,1336387078030590057,,525,502,0.152237026
1336387078229063988,1709,1336387078229063988,,525,508,0.16088708
1336387078328299999,1710,1336387078328299999,,532,510,0.150514251
1336387078526773930,1711,1336387078526773930,,526,508,0.154093968
1336387078626011848,1712,1336387078626011848,,530,508,0.157782145
1336387078824486017,1713,1336387078824486017,,527,501,0.160086836
1336387079022958994,1714,1336387079022958994,,529,497,0.147330609
1336387079122196913,1715,1336387079122196913,,527,499,0.146632402
1336387079320669889,1716,1336387079320669889,,535,509,0.156954391
1336387079419906855,1717,1336387079419906855,,525,505,0.15541997
1336387079618381023,1718,1336387079618381023,,530,506,0.150878127
1336387079717617989,1719,1336387079717617989,,535,517,0.166027117
1336387079916091919,1720,1336387079916091919,,519,497,0.148372847
1336387080114565849,1721,1336387080114565849,,524,502,0.151733821
1336387080213801861,1722,1336387080213801861,,523,500,0.158871386
1336387080412276983,1723,1336387080412276983,,527,507,0.15323157
1336387080511513948,1724,1336387080511513948,,532,511,0.164643351
1336387080709986925,1725,1336387080709986925,,524,495,0.143900846
1336387080908460855,1726,1336387080908460855,,526,499,0.14691477
1336387081007699013,1727,1336387081007699013,,525,501,0.155493795
1336387081206171989,1728,1336387081206171989,,520,502,0.156097158
1336387081404645920,1729,1336387081404645920,,526,506,0.151321829
1336387081503882885,1730,1336387081503882885,,530,504,0.165714929
1336387081702357054,1731,1336387081702357054,,525,497,0.155883582
1336387081900830984,1732,1336387081900830984,,520,497,0.157499355
