%time,field.header.seq,field.header.stamp,field.header.frame_id,field.num_matches,field.num_inliers,field.runtime
1336386948.72,791,1336386948.72,,414,393,0.128620407
1336386948.82,792,1336386948.82,,419,399,0.126744396
1336386948.92,793,1336386948.92,,411,390,0.09052192
1336386949.02,794,1336386949.02,,404,387,0.118768663
1336386949.22,795,1336386949.22,,383,372,0.119494667
1336386949.32,796,1336386949.32,,379,366,0.116083129
1336386949.42,797,1336386949.42,,392,370,0.111912274
1336386949.52,798,1336386949.52,,385,370,0.128096038
1336386949.72,799,1336386949.72,,376,355,0.107916375
1336386949.82,800,1336386949.82,,370,349,0.100544421
1336386949.92,801,1336386949.92,,353,332,0.106936852
1336386950.02,802,1336386950.02,,352,335,0.104102414
1336386950.11,803,1336386950.11,,347,330,0.101411149
1336386950.21,804,1336386950.21,,350,330,0.105910954
1336386950.31,805,1336386950.31,,349,328,0.100264359
1336386950.41,806,1336386950.41,,332,309,0.108409527
1336386950.51,807,1336386950.51,,339,319,0.09728311
1336386950.61,808,1336386950.61,,350,327,0.090587495
1336386950.71,809,1336386950.71,,349,332,0.108403867
1336386950.91,810,1336386950.91,,344,321,0.119123111
1336386951.01,811,1336386951.01,,344,333,0.093255155
1336386951.11,812,1336386951.11,,350,334,0.115525513
1336386951.21,813,1336386951.21,,340,327,0.100474372
1336386951.31,814,1336386951.31,,334,314,0.105398179
1336386951.4,815,1336386951.4,,335,318,0.100286494
1336386951.5,816,1336386951.5,,328,309,0.101731585
1336386951.6,817,1336386951.6,,325,306,0.095813581
1336386951.7,818,1336386951.7,,321,302,0.103172893
1336386951.8,819,1336386951.8,,335,314,0.102665013
1336386951.9,820,1336386951.9,,313,301,0.104395047
1336386952.0,821,1336386952.0,,322,307,0.10119904
1336386952.1,822,1336386952.1,,315,300,0.100971433
1336386952.2,823,1336386952.2,,335,320,0.094371989
1336386952.3,824,1336386952.3,,330,314,0.099325688
1336386952.5,825,1336386952.5,,330,316,0.070441363
1336386952.6,826,1336386952.6,,345,327,0.100710781
1336386952.69,827,1336386952.69,,357,341,0.107090291
1336386952.79,828,1336386952.79,,357,332,0.111358579
1336386952.89,829,1336386952.89,,359,347,0.104533755
1336386952.99,830,1336386952.99,,366,351,0.114291625
1336386953.09,831,1336386953.09,,368,343,0.115193976
1336386953.29,832,1336386953.29,,357,340,0.104645151
1336386953.39,833,1336386953.39,,361,348,0.113155591
1336386953.49,834,1336386953.49,,367,342,0.111810098
1336386953.59,835,1336386953.59,,372,355,0.114814319
1336386953.69,836,1336386953.69,,367,348,0.120871447
1336386953.89,837,1336386953.89,,376,355,0.114904552
1336386953.98,838,1336386953.98,,378,363,0.124205322
1336386954.08,839,1336386954.08,,382,356,0.116827216
1336386954.18,840,1336386954.18,,377,356,0.113546564
1336386954.28,841,1336386954.28,,375,358,0.110890846
1336386954.48,842,1336386954.48,,375,362,0.113298626
1336386954.58,843,1336386954.58,,379,352,0.117837331
1336386954.68,844,1336386954.68,,381,352,0.12069684
1336386954.78,845,1336386954.78,,394,374,0.116008956
1336386954.88,846,1336386954.88,,379,357,0.121061833
1336386955.08,847,1336386955.08,,383,364,0.115755432
1336386955.18,848,1336386955.18,,391,367,0.123546787
1336386955.27,849,1336386955.27,,405,385,0.116192922
1336386955.37,850,1336386955.37,,400,390,0.09303648
1336386955.47,851,1336386955.47,,395,381,0.156496643
1336386955.67,852,1336386955.67,,391,371,0.127191665
1336386955.77,853,1336386955.77,,408,387,0.113351706
1336386955.87,854,1336386955.87,,411,391,0.148097463
1336386956.07,855,1336386956.07,,414,392,0.120728621
1336386956.17,856,1336386956.17,,422,403,0.13477098
1336386956.27,857,1336386956.27,,429,405,0.10144656
1336386956.37,858,1336386956.37,,427,406,0.166761148
1336386956.56,859,1336386956.56,,426,399,0.127617765
1336386956.66,860,1336386956.66,,428,413,0.137524332
1336386956.86,861,1336386956.86,,436,411,0.141590979
1336386956.96,862,1336386956.96,,445,415,0.138640467
1336386957.16,863,1336386957.16,,437,419,0.128327629
1336386957.26,864,1336386957.26,,443,428,0.130754692
1336386957.36,865,1336386957.36,,443,425,0.139705192
1336386957.56,866,1336386957.56,,441,415,0.136941158
1336386957.66,867,1336386957.66,,449,432,0.140458644
1336386957.85,868,1336386957.85,,444,416,0.136760968
1336386957.95,869,1336386957.95,,462,446,0.130774308
1336386958.05,870,1336386958.05,,451,432,0.136716622
1336386958.25,871,1336386958.25,,447,422,0.130875791
1336386958.35,872,1336386958.35,,460,435,0.146858688
1336386958.55,873,1336386958.55,,454,439,0.140841863
1336386958.65,874,1336386958.65,,468,449,0.140956752
1336386958.85,875,1336386958.85,,461,441,0.126645716
1336386958.95,876,1336386958.95,,465,444,0.131859994
1336386959.05,877,1336386959.05,,461,446,0.147344435
1336386959.24,878,1336386959.24,,461,448,0.137533412
1336386959.34,879,1336386959.34,,462,449,0.150588145
1336386959.54,880,1336386959.54,,454,442,0.135952133
1336386959.64,881,1336386959.64,,466,448,0.144727204
1336386959.84,882,1336386959.84,,455,442,0.132192088
1336386959.94,883,1336386959.94,,468,452,0.14228765
1336386960.04,884,1336386960.04,,461,442,0.156593098
1336386960.24,885,1336386960.24,,465,448,0.137239936
1336386960.34,886,1336386960.34,,476,451,0.140669215
1336386960.53,887,1336386960.53,,460,442,0.140982522
1336386960.63,888,1336386960.63,,465,447,0.155534513
1336386960.83,889,1336386960.83,,456,438,0.141592935
1336386960.93,890,1336386960.93,,467,452,0.143959438
1336386961.13,891,1336386961.13,,469,447,0.151169714
1336386961.33,892,1336386961.33,,463,440,0.151491194
1336386961.43,893,1336386961.43,,480,459,0.15260544
1336386961.63,894,1336386961.63,,477,462,0.161509646
1336386961.73,895,1336386961.73,,480,458,0.144672515
1336386961.92,896,1336386961.92,,469,458,0.151232362
1336386962.02,897,1336386962.02,,494,479,0.148169399
1336386962.22,898,1336386962.22,,484,464,0.155627189
1336386962.32,899,1336386962.32,,507,494,0.159013798
1336386962.52,900,1336386962.52,,512,496,0.150924571
1336386962.62,901,1336386962.62,,505,492,0.168219226
1336386962.82,902,1336386962.82,,513,497,0.131226324
1336386963.02,903,1336386963.02,,511,494,0.169782483
1336386963.21,904,1336386963.21,,506,491,0.157432031
1336386963.31,905,1336386963.31,,511,499,0.159549618
1336386963.51,906,1336386963.51,,494,478,0.151071026
1336386963.61,907,1336386963.61,,500,486,0.157038471
1336386963.81,908,1336386963.81,,490,473,0.130773056
1336386963.91,909,1336386963.91,,498,480,0.177800544
1336386964.11,910,1336386964.11,,487,461,0.147348418
1336386964.31,911,1336386964.31,,476,460,0.147759289
1336386964.4,912,1336386964.4,,466,455,0.149783994
1336386964.6,913,1336386964.6,,475,453,0.159378019
1336386964.7,914,1336386964.7,,470,458,0.111402155
1336386964.8,915,1336386964.8,,468,448,0.188114422
1336386965.0,916,1336386965.0,,473,463,0.154754526
1336386965.2,917,1336386965.2,,471,461,0.145276365
1336386965.3,918,1336386965.3,,466,461,0.15201109
1336386965.5,919,1336386965.5,,453,439,0.141388162
1336386965.6,920,1336386965.6,,458,447,0.149467053
1336386965.79,921,1336386965.79,,453,442,0.140787873
1336386965.89,922,1336386965.89,,453,443,0.145530029
1336386966.09,923,1336386966.09,,456,443,0.070398965
1336386966.19,924,1336386966.19,,455,440,0.151386709
1336386966.39,925,1336386966.39,,451,435,0.144219461
1336386966.49,926,1336386966.49,,448,438,0.137444083
1336386966.69,927,1336386966.69,,434,426,0.141402058
1336386966.79,928,1336386966.79,,426,415,0.144359
1336386966.98,929,1336386966.98,,429,422,0.131020294
1336386967.08,930,1336386967.08,,431,421,0.141865035
1336386967.18,931,1336386967.18,,425,415,0.143012673
1336386967.38,932,1336386967.38,,426,413,0.131025182
1336386967.48,933,1336386967.48,,422,410,0.139518439
1336386967.68,934,1336386967.68,,429,415,0.150971291
1336386967.78,935,1336386967.78,,429,415,0.135224598
1336386967.98,936,1336386967.98,,424,406,0.144463061
1336386968.08,937,1336386968.08,,420,408,0.132739507
1336386968.18,938,1336386968.18,,414,400,0.149660022
1336386968.37,939,1336386968.37,,417,400,0.140812249
1336386968.47,940,1336386968.47,,425,411,0.102997805
1336386968.67,941,1336386968.67,,413,398,0.144136902
1336386968.77,942,1336386968.77,,421,402,0.138243418
1336386968.97,943,1336386968.97,,419,408,0.137959373
1336386969.07,944,1336386969.07,,427,411,0.13074295
1336386969.17,945,1336386969.17,,416,398,0.137097395
1336386969.37,946,1336386969.37,,397,386,0.133724686
1336386969.47,947,1336386969.47,,410,401,0.123219999
1336386969.56,948,1336386969.56,,408,398,0.15199349
1336386969.76,949,1336386969.76,,401,390,0.135683106
1336386969.86,950,1336386969.86,,404,395,0.110702556
1336386969.96,951,1336386969.96,,408,395,0.158758319
1336386970.16,952,1336386970.16,,397,387,0.13199842
1336386970.26,953,1336386970.26,,401,382,0.135907154
1336386970.46,954,1336386970.46,,389,376,0.1310967
1336386970.56,955,1336386970.56,,389,376,0.1426342
1336386970.76,956,1336386970.76,,381,374,0.129631504
1336386970.85,957,1336386970.85,,397,390,0.131039287
1336386970.95,958,1336386970.95,,392,377,0.134196605
1336386971.15,959,1336386971.15,,378,367,0.136057663
1336386971.25,960,1336386971.25,,410,399,0.133095276
1336386971.35,961,1336386971.35,,414,405,0.14671391
1336386971.55,962,1336386971.55,,400,390,0.141654814
1336386971.65,963,1336386971.65,,421,406,0.144174969
1336386971.85,964,1336386971.85,,420,404,0.135808335
1336386971.95,965,1336386971.95,,446,435,0.15019752
1336386972.14,966,1336386972.14,,442,428,0.146372314
1336386972.24,967,1336386972.24,,462,447,0.145385737
1336386972.44,968,1336386972.44,,456,441,0.149955804
1336386972.54,969,1336386972.54,,471,451,0.150891322
1336386972.74,970,1336386972.74,,467,446,0.151881959
1336386972.84,971,1336386972.84,,480,471,0.166021389
1336386973.04,972,1336386973.04,,476,464,0.148743144
1336386973.24,973,1336386973.24,,482,466,0.167570752
1336386973.34,974,1336386973.34,,487,471,0.154291964
1336386973.53,975,1336386973.53,,479,466,0.14565267
1336386973.63,976,1336386973.63,,491,480,0.187007928
1336386973.83,977,1336386973.83,,485,472,0.158102856
1336386974.03,978,1336386974.03,,499,476,0.158190999
1336386974.13,979,1336386974.13,,506,490,0.174819017
1336386974.33,980,1336386974.33,,508,490,0.159622673
1336386974.53,981,1336386974.53,,508,495,0.144043177
1336386974.63,982,1336386974.63,,534,518,0.198422856
1336386974.82,983,1336386974.82,,531,510,0.168517449
1336386975.02,984,1336386975.02,,538,518,0.188508891
1336386975.22,985,1336386975.22,,554,542,0.167178174
1336386975.42,986,1336386975.42,,566,544,0.160968235
1336386975.52,987,1336386975.52,,573,563,0.208225568
1336386975.72,988,1336386975.72,,571,557,0.189685362
1336386975.92,989,1336386975.92,,576,561,0.187432778
1336386976.11,990,1336386976.11,,576,558,0.179578912
1336386976.31,991,1336386976.31,,580,563,0.189384209
1336386976.51,992,1336386976.51,,583,573,0.185608449
1336386976.71,993,1336386976.71,,581,572,0.191009556
1336386976.91,994,1336386976.91,,570,557,0.188011197
1336386977.11,995,1336386977.11,,562,539,0.18681091
1336386977.31,996,1336386977.31,,559,542,0.186989138
